date,game_id,name,adj_baverage,avg_vote_rank,votes_1000,votes_2000,votes_5000,votes_10000,votes_25000,votes_50000,votes_100000
2022-01-05,521,Crokinole,8.20308237078115,118,72,78,95,115,145,156,165
2022-01-05,161936,Pandemic Legacy: Season 1,8.06018315225642,4,3,2,2,3,3,5,10
2022-01-05,254640,Just One,8.03665497987431,162.3,190,158,146,150,159,165,168
2022-01-05,178900,Codenames,8.00792790840378,55.4,149,96,57,36,20,17,13
2022-01-05,173346,7 Wonders Duel,7.95624297483858,9.4,24,16,9,5,5,4,3
2022-01-05,230802,Azul,7.91716639516483,32.3,74,53,35,22,13,15,14
2022-01-05,318977,MicroMacro: Crime City,7.90421556481116,337.3,218,238,319,360,400,410,416
2022-01-05,284083,The Crew: The Quest for Planet Nine,7.89465265852547,52.4,54,43,39,48,58,62,63
2022-01-05,165722,KLASK,7.85467422105159,351.7,269,285,331,365,397,406,409
2022-01-05,163412,Patchwork,7.83426598757187,58,129,90,59,44,32,27,25
2022-01-05,266507,Clank!: Legacy – Acquisitions Incorporated,7.82809128729521,221.6,18,46,155,255,332,369,376
2022-01-05,266192,Wingspan,7.81498340343175,13.7,27,18,15,8,6,10,12
2022-01-05,92828,Dixit: Odyssey,7.81459672852092,188.9,282,217,179,162,163,160,159
2022-01-05,156546,Monikers,7.81162152618349,489.1,276,359,482,535,577,593,602
2022-01-05,244521,The Quacks of Quedlinburg,7.80958329975172,55.9,73,62,48,50,50,54,54
2022-01-05,224037,Codenames: Duet,7.80146659188698,173.1,228,178,159,159,161,164,163
2022-01-05,46213,Telestrations,7.7962478603386,250.6,333,279,232,230,224,228,228
2022-01-05,192291,Sushi Go Party!,7.78056286683381,144.4,265,186,140,114,106,100,100
2022-01-05,225694,Decrypto,7.77028325832353,133.9,110,100,118,132,150,161,166
2022-01-05,204583,Kingdomino,7.76996827099125,139.3,312,216,139,103,77,66,62
2022-01-05,54043,Jaipur,7.76939831353823,94.1,207,141,92,67,55,51,46
2022-01-05,129622,Love Letter,7.69125024250643,150.3,405,264,150,96,62,42,33
2022-01-05,39856,Dixit,7.68416391447735,151.3,393,262,153,99,65,48,39
2022-01-05,324856,The Crew: Mission Deep Sea,7.68391921043376,480.3,101,232,465,562,648,673,681
2022-01-05,263918,Cartographers,7.67083871954209,129.3,134,113,116,126,134,140,142
2022-01-05,167791,Terraforming Mars,7.66643016718081,2.6,6,4,3,2,1,1,1
2022-01-05,188834,Secret Hitler,7.65234569848933,141.6,208,162,131,127,120,122,121
